T,D,L,Ly,G,Gy,Gz,A,Ay,Az,M,My,Mz,P,R,H,
,793,,,-1.19,0.58,0.13,-0.09,0.07,0.96,0.19,0,-0.62,4.21,5.43,-319.85,*7A
85547,793,GPGGA,190701,-1.29,0.81,0.29,-0.09,0.07,0.96,0.2,0.03,-0.61,4.12,5.34,-323.45,*7A
85621,793,,,-1.11,0.52,0,-0.09,0.07,0.96,0.19,0.03,-0.61,4.19,5.38,-322.42,*7A
85678,793,,,-1.29,0.52,0.22,-0.09,0.07,0.96,0.19,0.04,-0.61,4.27,5.3,-321.96,*7A
85735,793,,,-0.96,0.8,0.36,-0.09,0.07,0.96,0.19,0.03,-0.61,4.15,5.31,-323.64,*7A
85791,793,,,-1.03,0.38,0.25,-0.09,0.07,0.96,0.19,0.03,-0.61,4.21,5.4,-322.81,*7A
85849,793,,,-1.02,0.67,0.33,-0.09,0.07,0.96,0.19,0.04,-0.61,4.19,5.42,-321.17,*7A
85905,793,,,-1.05,0.59,0.37,-0.09,0.07,0.96,0.19,0.04,-0.61,4.18,5.18,-322.05,*7A
85962,793,,,-1.06,0.43,0.28,-0.09,0.07,0.96,0.19,0.03,-0.61,4.24,5.39,-323.81,*7A
86020,793,,,-1.02,0.39,0.3,-0.09,0.07,0.96,0.19,0.03,-0.61,4.19,5.52,-324.18,*7A
86076,793,,,-1.12,0.63,0.17,-0.09,0.07,0.96,0.19,0.03,-0.61,4.23,5.35,-322.58,*7A
86133,793,,,-1.18,0.49,0.23,-0.09,0.07,0.96,0.19,0.04,-0.61,4.17,5.39,-321,*7A
86190,793,,,-1.01,0.64,0.32,-0.09,0.07,0.96,0.19,0.04,-0.61,4.15,5.29,-320.6,*7A
86247,793,,,-1.13,0.51,0.3,-0.09,0.07,0.96,0.19,0.03,-0.61,4.18,5.48,-322.63,*7A
86303,793,,,-1.1,0.57,0.29,-0.09,0.07,0.96,0.19,0.03,-0.61,4.1,5.46,-322.15,*7A
86361,793,,,-1.23,0.53,0.32,-0.09,0.07,0.96,0.19,0.03,-0.61,4.15,5.33,-323.15,*7A
86418,793,,,-1.23,0.48,0.2,-0.09,0.07,0.96,0.19,0.03,-0.62,4.15,5.43,-323.02,*7A
86546,793,,,-1.09,0.52,0.17,-0.09,0.07,0.96,0.19,0.04,-0.61,4.17,5.53,-320.32,*7A
